SubjectID,SY_SlidingWindo___en2_10_Frontal_L,SY_SlidingWindo___en2_10_Frontal_R,SY_SlidingWindo___en2_10_Central_L,SY_SlidingWindo___en2_10_Central_R,SY_SlidingWindo___en2_10_Parietal_L,SY_SlidingWindo___en2_10_Parietal_R,SY_SlidingWindo___en2_10_Temporal_L,SY_SlidingWindo___en2_10_Temporal_R,SY_SlidingWindo___en2_10_Occipital_L,SY_SlidingWindo___en2_10_Occipital_R,SY_SlidingWindo___en2_10_Midline,SY_SlidingWindo___en2_10_Anterior,SY_SlidingWindo___en2_10_Posterior,ApEn2_02_Frontal_L,ApEn2_02_Frontal_R,ApEn2_02_Central_L,ApEn2_02_Central_R,ApEn2_02_Parietal_L,ApEn2_02_Parietal_R,ApEn2_02_Temporal_L,ApEn2_02_Temporal_R,ApEn2_02_Occipital_L,ApEn2_02_Occipital_R,ApEn2_02_Midline,ApEn2_02_Anterior,ApEn2_02_Posterior,EN_mse_1_10_2_0___SampEn_Frontal_L,EN_mse_1_10_2_0___SampEn_Frontal_R,EN_mse_1_10_2_0___SampEn_Central_L,EN_mse_1_10_2_0___SampEn_Central_R,EN_mse_1_10_2_0___SampEn_Parietal_L,EN_mse_1_10_2_0___SampEn_Parietal_R,EN_mse_1_10_2_0___SampEn_Temporal_L,EN_mse_1_10_2_0___SampEn_Temporal_R,EN_mse_1_10_2_0___SampEn_Occipital_L,EN_mse_1_10_2_0___SampEn_Occipital_R,EN_mse_1_10_2_0___SampEn_Midline,EN_mse_1_10_2_0___SampEn_Anterior,EN_mse_1_10_2_0___SampEn_Posterior
M27,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,1.09743269841361,1.05560496959437,1.06035794423475,0.883504388852558,1.00433217133572,0.98207490144921,1.21408564098887,1.20736958984368,1.01081857832202,1.03705294190693,0.887003570778125,1.09965325709776,1.02651620265164,0.131952866480763,0.0693147180559945,0.231049060186648,0,0,0.255965638461151,0.452314214995815,0.0915510240556758,0,0,0.313889225333746,0.113051726526203,0.181468425060161
M28,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20022732835059,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20362166595325,1.01903063951792,1.06050970402569,0.913239587357983,1.01955029607008,0.988265112917692,1.05776884452178,1.08067814932535,1.16803181159356,1.079059859971,1.10818598175891,1.06577131407294,1.06460096596441,1.04894186364015,0.365199045369283,0.160878011014339,0.924399934963672,1.08215759075672,0.58866991100019,0.865686539560749,0.581162870781326,0.22060470060678,0.528748622942178,0.828754998431231,0.611340787069332,0.276986804311902,0.691564325231738
M29,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,1.158677288589,1.29792644383264,1.01400951074287,1.23822795404465,1.01632104307506,1.21729600336844,1.31152384581269,1.27073464949762,1.08869946234483,1.2079432541402,1.08284863762229,1.25325606267775,1.13063812516832,0.153570152708474,0,1.16755449810072,0,0.555251630381589,0,0,0,0.143911568312128,0,0.218295175845167,0.0568778343364719,0.1959902319711
M31,-1.20267403000577,-1.2028233284147,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20306604498097,-1.20397280432594,1.07628711284361,1.23646404333805,1.102605979453,1.11573786763717,1.10119984286907,1.04832740861646,1.16465367662555,1.18323433984689,1.05459869065931,1.04116067869925,1.01833280170441,1.15857517616,1.07742810916489,0.711073823684374,0.614386480065867,1.86045796760139,1.36887604555761,1.46037002654196,1.2913079979478,0.899706090858,0.858983544826147,1.35785979322352,1.3818575821892,0.978262454867621,0.564012658688301,1.40572111496562
M32,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.19283287585565,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20103149214966,-1.20397280432594,-1.20397280432594,-1.20116828095103,1.11024433630208,1.02536270844307,1.04040120501266,0.965077386254346,0.991674653867088,0.938597870769168,1.27064181830471,1.17345045002002,1.02296210453643,1.06249238530585,0.898074796365299,1.091426145887,1.01708933799928,0.317805383034795,0,0,0,0.127982819230575,0.148531538691417,0,0,0.274653072167027,0.712972809332025,0.156944612666873,0.138050369432667,0.183940750982817
M34,-1.20397280432594,-1.20397280432594,-1.19621946838679,-1.20005105475757,-1.18604279165532,-1.20397280432594,-1.20397280432594,-1.19621526907044,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20224890760249,-1.19932373880994,0.692186999824977,0.755971276949937,0.768341306965814,0.783244646263313,0.677994320807955,0.689909350751228,0.853509788007086,0.862992179715284,0.857042715840979,0.908840742485652,0.633808749283136,0.744412031854233,0.765004751373576,1.63092417701459,1.55456604618228,1.59973985333452,1.65611857308656,1.63064603613523,1.75875977253349,1.68317703172318,1.30145860050259,1.59315722912077,1.62569642758076,1.57568471487024,1.59393801778795,1.61986548511871
M35,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.2023676003365,-1.20397280432594,-1.20201192954175,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20325400193121,0.983628545923471,0.984304361632809,0.962976040132942,0.942920259704104,0.892572044026277,0.89920858109987,1.14703619375379,1.05960637578858,0.959479574325245,0.93389898683269,0.857905949709052,1.00178337575878,0.942645636130176,0.251736269404026,0.329636224207071,0.262522974800271,0.164721414086977,1.40981994932013,1.24131023639492,0.934414795081339,0.08709577789522,1.00110984041563,0.796672440164181,0.777251932347763,0.36223114264503,0.997303214836187
M36,-1.20279627945543,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.2035370543739,-1.20397280432594,1.33356372699322,1.3001422221679,1.2166331774676,1.18083161763742,1.33391355360316,1.29700240930322,1.38008894494187,1.34199673326509,1.38765182623031,1.37402863541394,1.04226829699551,1.30936788305751,1.3132393024788,0,0.0549306144334055,0,0.240864313158014,0.0784723063334364,0,0.0577622650466621,0,0.3106133312235,0,0,0.0203446720123724,0.0668229081096259
M37,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,0.929409644559908,0.962843027354803,0.937767902575899,1.00894611865013,1.2040578661252,1.1543259711042,1.21923084071898,1.13759677936656,1.27101964289132,1.27956378021345,1.05909207416017,0.987326941582346,1.19381144045811,0,0,0,0,0.227080324808479,0,0,0.260782495722429,0,0,0.223544171738751,0.0579516657160953,0.0496738210518548
M38,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20191508661007,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20358698225421,1.12448307344876,1.21411990269959,1.00707643295469,1.16547171694348,1.07868458348976,1.0420596242462,1.27188187525032,1.31611430926062,1.16872560719648,1.19790439447293,0.934904478489044,1.19803838603206,1.10743694048515,0,0,0.260804167221188,0,1.23006572379715,0,0.642345792008433,0.276073106480618,0.288522913347611,0,0.185596274373459,0.061349579217915,0.470332060437243
M39,-1.20397280432594,-1.20164680354419,-1.1887285164361,-1.18012266371916,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.1863136677592,-1.20311132255492,-1.20173685364405,0.877310875733936,0.800471942756277,0.750059328001367,0.732766643793203,0.750391184991914,0.829373593210803,0.943822319284402,0.956653313449943,0.905126918582305,0.945332163193549,0.744631207262853,0.862169150260416,0.84220182019687,0.303716510782638,0.811967773546344,1.56591504354794,1.56868346248646,1.20983540964363,0.922837800694584,0.274006313448145,0.35432314038078,0,0,0.730348145414448,0.448761532124892,0.730753911888794
M40,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,0.942645606766593,0.97552890145153,0.95443633404838,0.801004089050287,1.14255917757734,1.11946590852656,1.04970553471758,1.08410750373725,1.22817067501191,1.25631694748605,0.981310495281887,0.973298786325608,1.13047567317698,0.386094994506274,0.597787369986634,1.27689581724269,1.28720722405042,1.66349463227136,1.39603980290302,0.53074880010027,0.283829109029094,1.71799664562256,1.40966471119264,0.953296478757887,0.394788079034565,1.39954401775387
M41,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,1.14115844625638,1.07127969533356,1.14274839211754,0.92822654485559,1.18204678889325,1.00928881855403,1.28847431340016,1.07730702962193,1.12582074093015,1.01626011412004,0.996255044780361,1.12157017366755,1.08382804904408,0.258249200516117,0,0.382525354682279,0.555393544225022,0.0819528422900574,0.192177451512865,0.647121283457879,0.181567818283176,0,0,0,0.229805679771029,0.118188698153114
M42,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.19746135597863,-1.20397280432594,-1.20397280432594,-1.20315887328252,1.22999412701175,1.11785636634571,1.23855156103587,0.973322326756914,1.02620032424852,0.98682598763862,1.2810158575517,1.17861976168689,0.989082294485491,1.03375763181222,0.966319876455272,1.1864433958453,1.03462382165528,0,0.0693147180559945,0.552671102122599,1.19030181245929,0.557551722696909,0.836008557545757,0.0915510240556758,0,0,0,0.225904097823201,0.0256721177985165,0.46234577466723
M43,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,-1.20397280432594,1.14528012630698,1.1733246692086,1.10796847665947,1.12209772177564,1.08561051879682,1.12087926853156,1.29835857977997,1.22623775053878,1.18950187150689,1.10635808434043,1.00696611919053,1.17898035849331,1.12749886060219,0.066087791999116,0.109861228866811,0,0.429677339246677,0.27739221535042,0.0495105128971389,0,0.149313289102338,0.243238768631914,0.173286795139986,0.130898675982022,0.0821346509109758,0.166625863177328
